tract2010,town,totalMathAvgScaleScoreZ-CSDE2013,totalReadAvgScaleScoreZ-CSDE2013,collegeZ-ACS0812,publicassistZ-ACS0812,povertyZ-ACS0812,unemploymentZ-ACS0812,owneroccupiedZ-ACS0812,vacancyZ-ACS0812,employment_access_index-LAIv2,job_diversity_index-LAIv2,jobchangeZ-ACS0812,crimeZ-UCR2010,index2014,level2014
214,Stamford,0.129390572,-0.088270612,-1.587761648,0.17022074,-0.108463431,-1.093120857,-1.306803766,-0.016284636,2.073145406,-0.933805181,0.972776042,0.384099774,-0.117073133,Low
215,Stamford,0.129390572,-0.088270612,-1.604795647,-0.684688963,-0.673352554,-0.79599875,-1.61040445,0.21905892,2.492793657,-1.105000067,0.972776042,0.384099774,-0.197032673,Low
216,Stamford,0.129390572,-0.088270612,0.759679899,0.271552812,0.346893629,0.267845182,-1.496037681,-0.177335389,2.271615778,-1.061560352,0.972776042,0.384099774,0.215054138,Moderate
217,Stamford,0.129390572,-0.088270612,0.661698292,0.354705889,-0.399376852,0.294239478,-1.851819604,-0.284416156,2.305871143,-1.181728581,0.972776042,0.384099774,0.108097449,Moderate
218.01,Stamford,0.129390572,-0.088270612,0.112170987,0.453328028,0.153948726,-0.375167882,-0.166641517,-0.033149573,1.935704139,-1.253045071,0.972776042,0.384099774,0.185428634,Moderate
218.02,Stamford,0.129390572,-0.088270612,-0.418953353,0.334945698,-0.002907268,0.099111955,-0.536752595,0.884253427,1.328565231,-1.298514493,0.972776042,0.384099774,0.148978698,Moderate
219,Stamford,0.129390572,-0.088270612,0.530125548,0.179813038,-0.471176466,-0.220431678,-0.343049596,0.715935685,0.806729403,-1.317848807,0.972776042,0.384099774,0.106507742,Moderate
220,Stamford,0.129390572,-0.088270612,0.258012874,0.264489555,0.054604235,0.449224551,-0.723314111,-0.379137896,1.198778125,-1.343417991,0.972776042,0.384099774,0.098102927,Moderate
221,Stamford,0.129390572,-0.088270612,-1.358390651,-0.209424073,-0.823581025,-0.411969239,-1.182477466,0.455040587,1.995723876,-1.266063904,0.972776042,0.384099774,-0.116928843,Low
222,Stamford,0.129390572,-0.088270612,-1.792039914,-0.381023341,-1.064566668,-1.21394415,-2.198449731,-0.055737153,2.297572763,-1.191483607,0.972776042,0.384099774,-0.350139669,Low
223,Stamford,0.129390572,-0.088270612,-1.041210675,-0.188877094,-0.207166564,-0.840530993,-1.679749626,0.590092439,1.655211098,-1.112881345,0.972776042,0.384099774,-0.118926415,Low
224,Stamford,0.129390572,-0.088270612,1.289983086,0.633319287,0.918393244,0.056944678,0.728178693,0.24924107,0.684576441,-1.331890168,0.972776042,0.384099774,0.385561842,High
301,Darien,1.091467136,1.294802217,1.7978366,0.772078613,0.871447232,0.819968172,0.977249805,0.492996883,0.027562892,-1.00904602,1.172788388,1.114668808,0.785318394,Very High
302,Darien,1.091467136,1.294802217,1.606347483,0.739797696,0.508685886,0.912615257,0.891960884,0.71229941,0.152496282,-1.024017126,1.172788388,1.114668808,0.764492693,Very High
303,Darien,1.091467136,1.294802217,1.693161449,0.717216842,0.234983104,0.442196074,0.784066887,0.559839181,0.084133343,-0.988842436,1.172788388,1.114668808,0.683373416,Very High
304,Darien,1.091467136,1.294802217,1.563891333,0.502528203,0.470976131,-0.259739186,0.688654958,-0.033154111,0.405566526,-1.09707073,1.172788388,1.114668808,0.576281639,Very High
